full_id,osm_id,osm_type,access,amenity,fee,parking,type,wheelchair,surface,service,maxstay,operator,park_ride,supervised,name,landuse,capacity,capacity:disabled,ref,network,lit,surveillance,maxweight,building,building:levels,maxheight,roof:levels,toilets:wheelchair,wheelchair:description,fee:conditional,capacity:parent,capacity:women,operator:type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note:de,description,opening_hours,width,smoothness,layer,location,hgv,motorboat,motorcar,motorcycle,snowmobile,fixme:en,fixme:de,foot,barrier,contact:email,contact:fax,contact:phone,contact:website,owner,parking:condition,natural,highway,emergency,covered,source:note,disabled,name:etymology:wikidata,level,bus,capacity:charging,alt_name,capacity:hgv,vehicle,access:disabled,building:levels:underground,building:part,Fläche
r5927,"5927",relation,yes,parking,no,surface,multipolygon,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43334"
r532058,"532058",relation,,parking,,surface,multipolygon,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1964"
r543037,"543037",relation,unknown,parking,,,multipolygon,,,driveway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1342"
r901011,"901011",relation,,parking,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"704"
r946391,"946391",relation,permissive,parking,,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3733"
r1589533,"1589533",relation,yes,parking,no,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7518"
r1607291,"1607291",relation,,parking,yes,,multipolygon,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3194"
r2030671,"2030671",relation,customers,parking,no,surface,multipolygon,,paving_stones,,1.5 hr,REWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1655"
r2672368,"2672368",relation,,parking,,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"674"
r5498679,"5498679",relation,,parking,,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1530"
r6323458,"6323458",relation,customers,parking,,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3758"
r7274733,"7274733",relation,unknown,parking,,surface,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"736"
w4250498,"4250498",way,yes,parking,no,surface,,limited,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29554"
w4289632,"4289632",way,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1234"
w4941685,"4941685",way,yes,parking,no,surface,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16843"
w8032307,"8032307",way,,parking,yes,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3183"
w9253802,"9253802",way,yes,parking,no,surface,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4943"
w17238394,"17238394",way,yes,parking,yes,surface,,,,,,,,,An der Buschmühle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9803"
w19072384,"19072384",way,,parking,yes,surface,,,,,,,,,Casino-Parkplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13660"
w19073030,"19073030",way,,parking,no,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3079"
w23029141,"23029141",way,,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1858"
w23043830,"23043830",way,private,parking,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2144"
